Building,Abbreviation,RoomType,BuildingType,Gender,TimeStamp,BedsAvailable
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Female,2025-02-18T09:00:00Z,164
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Female,2025-02-18T10:00:00Z,157
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Female,2025-02-18T11:00:00Z,146
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Female,2025-02-18T12:00:00Z,90
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Female,2025-02-18T13:00:00Z,5
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Female,2025-02-18T14:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Female,2025-02-18T15:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Female,2025-02-18T16:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Female,2025-02-19T10:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Female,2025-02-19T11:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Female,2025-02-19T12:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Female,2025-02-19T13:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Female,2025-02-19T15:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Gender Inclusive,2025-02-18T09:00:00Z,12
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Gender Inclusive,2025-02-18T10:00:00Z,2
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Gender Inclusive,2025-02-18T11:00:00Z,2
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Gender Inclusive,2025-02-18T12:00:00Z,2
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Gender Inclusive,2025-02-18T13:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Gender Inclusive,2025-02-18T14:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Gender Inclusive,2025-02-18T15:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Gender Inclusive,2025-02-18T16:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Gender Inclusive,2025-02-19T10:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Gender Inclusive,2025-02-19T11:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Gender Inclusive,2025-02-19T12:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Gender Inclusive,2025-02-19T13:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Gender Inclusive,2025-02-19T15:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Male,2025-02-18T09:00:00Z,100
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Male,2025-02-18T10:00:00Z,100
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Male,2025-02-18T11:00:00Z,87
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Male,2025-02-18T12:00:00Z,71
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Male,2025-02-18T13:00:00Z,53
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Male,2025-02-18T14:00:00Z,28
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Male,2025-02-18T15:00:00Z,6
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Male,2025-02-18T16:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Male,2025-02-19T10:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Male,2025-02-19T11:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Male,2025-02-19T12:00:00Z,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Male,2025-02-19T13:00:00Z,0
