Building,Abbreviation,RoomType,BuildingType,Gender,2025-02-18 09:00:00,2025-02-18 10:00:00,2025-02-18 11:00:00,2025-02-18 12:00:00,2025-02-18 13:00:00,2025-02-18 14:00:00,2025-02-18 15:00:00,2025-02-18 16:00:00,2025-02-19 10:00:00,2025-02-19 11:00:00
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Female,164,157,146,90,5,0,0,0,0,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Gender Inclusive,12,2,2,2,0,0,0,0,0,0
Gayley Court Apartments,GC,2 Bd/4 Person,Apartment,Male,100,100,87,71,53,28,6,0,0,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Female,12,0,0,0,0,0,0,0,0,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Gender Inclusive,3,3,1,1,1,1,1,0,0,0
Gayley Heights,GH,1 Bd/3 Person,Apartment,Male,6,0,0,0,0,0,0,0,0,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Female,8,2,1,1,0,0,0,0,0,0
Gayley Heights,GH,2 Bd/5 Person-Double,Apartment,Male,4,4,0,0,0,0,0,0,0,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Female,12,5,2,2,2,1,1,0,0,0
Gayley Heights,GH,2 Bd/5 Person-Triple,Apartment,Male,6,6,1,1,1,1,0,0,0,0
Gayley Heights,GH,2 Bd/6 Person,Apartment,Female,396,384,364,336,205,47,26,9,0,0
Gayley Heights,GH,2 Bd/6 Person,Apartment,Gender Inclusive,30,20,4,2,1,1,1,0,0,0
Gayley Heights,GH,2 Bd/6 Person,Apartment,Male,240,230,178,149,133,96,35,18,4,0
Gayley Heights,GH,2 Bd/7 Person-Quad,Apartment,Female,44,40,44,44,40,40,9,4,2,3
Gayley Heights,GH,2 Bd/7 Person-Quad,Apartment,Gender Inclusive,4,4,0,0,0,0,0,0,0,0
Gayley Heights,GH,2 Bd/7 Person-Quad,Apartment,Male,28,28,28,28,28,28,24,22,13,7
Gayley Heights,GH,2 Bd/7 Person-Triple,Apartment,Female,33,33,33,33,33,28,2,4,0,0
Gayley Heights,GH,2 Bd/7 Person-Triple,Apartment,Gender Inclusive,3,3,0,0,0,0,0,0,0,0
Gayley Heights,GH,2 Bd/7 Person-Triple,Apartment,Male,21,21,21,21,21,21,21,18,1,0
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Female,2,0,0,0,0,0,0,0,0,0
Gayley Heights,GH,3 Bd/8 Person-Double,Apartment,Male,2,2,2,2,0,0,0,0,0,0
Gayley Heights,GH,3 Bd/8 Person-Triple,Apartment,Female,6,0,0,0,0,0,0,0,0,0
Gayley Heights,GH,3 Bd/8 Person-Triple,Apartment,Male,6,6,6,6,6,6,6,6,1,0
Gayley Heights,GH,4 Bd/10 Person-Double,Apartment,Female,70,70,70,70,66,50,26,10,0,0
Gayley Heights,GH,4 Bd/10 Person-Double,Apartment,Gender Inclusive,4,4,2,0,0,0,0,0,0,0
Gayley Heights,GH,4 Bd/10 Person-Double,Apartment,Male,44,40,40,40,40,38,33,24,0,0
Gayley Heights,GH,4 Bd/10 Person-Triple,Apartment,Female,108,108,108,108,102,102,90,76,43,7
Gayley Heights,GH,4 Bd/10 Person-Triple,Apartment,Gender Inclusive,6,6,0,0,0,0,0,0,0,0
Gayley Heights,GH,4 Bd/10 Person-Triple,Apartment,Male,66,60,60,60,60,60,54,47,27,21
Glenrock Apartments,GR,2 Bd/3 Person-Double,Apartment,Female,4,0,0,0,0,0,0,0,0,0
Glenrock Apartments,GR,2 Bd/3 Person-Double,Apartment,Male,2,2,0,0,0,0,0,0,0,0
Glenrock Apartments,GR,2 Bd/4 Person,Apartment,Female,84,74,32,5,4,1,0,1,0,0
Glenrock Apartments,GR,2 Bd/4 Person,Apartment,Gender Inclusive,8,0,0,0,0,0,0,0,0,0
Glenrock Apartments,GR,2 Bd/4 Person,Apartment,Male,52,45,45,34,7,5,5,3,0,0
Glenrock West Apartments,GW,1 Bd/3 Person,Apartment,Female,9,6,9,0,0,0,0,0,0,0
Glenrock West Apartments,GW,1 Bd/3 Person,Apartment,Gender Inclusive,3,1,1,0,0,0,0,0,0,0
Glenrock West Apartments,GW,1 Bd/3 Person,Apartment,Male,9,6,6,6,6,3,0,0,0,0
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Apartment,Female,6,6,4,1,0,0,0,0,0,0
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Apartment,Male,2,2,2,2,1,1,0,0,0,0
Glenrock West Apartments,GW,2 Bd/4 Person,Apartment,Female,48,37,13,0,1,0,0,0,0,0
Glenrock West Apartments,GW,2 Bd/4 Person,Apartment,Gender Inclusive,4,0,0,0,0,0,0,0,0,0
Glenrock West Apartments,GW,2 Bd/4 Person,Apartment,Male,24,2,1,3,0,0,0,0,0,0
Landfair Apartments,LF,2 Bd/4 Person,Apartment,Female,100,49,10,1,5,0,0,0,0,0
Landfair Apartments,LF,2 Bd/4 Person,Apartment,Gender Inclusive,8,3,0,0,0,0,0,0,0,0
Landfair Apartments,LF,2 Bd/4 Person,Apartment,Male,56,46,20,7,5,5,2,0,0,0
Landfair Vista Apartments,LV,2 Bd/4 Person,Apartment,Female,28,3,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd/4 Person,Apartment,Gender Inclusive,4,4,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd/4 Person,Apartment,Male,32,3,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Apartment,Female,4,4,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Apartment,Male,4,4,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Apartment,Female,6,6,6,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Apartment,Male,6,6,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd+Loft/5 Person-Double,Apartment,Female,4,4,2,1,1,1,0,0,0,0
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Apartment,Female,6,0,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Apartment,Male,6,0,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,3 Bd/6 Person,Apartment,Female,24,17,2,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,3 Bd/6 Person,Apartment,Male,12,0,0,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Double,Apartment,Gender Inclusive,2,2,2,0,0,0,0,0,0,0
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Triple,Apartment,Gender Inclusive,6,6,6,4,0,0,0,0,0,0
Laurel,LA,2 Bd/4 Person,Apartment,Female,40,36,36,25,2,1,0,0,0,0
Laurel,LA,2 Bd/4 Person,Apartment,Gender Inclusive,4,4,0,0,0,0,0,0,0,0
Laurel,LA,2 Bd/4 Person,Apartment,Male,12,4,4,3,3,2,1,1,0,0
